evaluations,avg_fitness,best_fitness
500,1254439.2066666668,23533333.333333332
1000,5636033.333333333,34750000
1500,10243433.333333334,38500000
2000,13931366.666666666,41850000
2500,17221833.333333332,44233333.333333336
3000,20302100,46400000
3500,23178133.333333332,48833333.333333336
4000,25898966.666666668,50566666.666666664
4500,28674933.333333332,54333333.333333336
5000,31332533.333333332,55866666.666666664
