evaluations,avg_fitness,best_fitness
500,1281739.4933333334,25250000
1000,5776966.666666667,33516666.666666668
1500,10543266.666666666,40483333.333333336
2000,14617000,44366666.666666664
2500,18343833.333333332,47833333.333333336
3000,21759266.666666668,50633333.333333336
3500,24808633.333333332,53933333.333333336
4000,27608200,56266666.666666664
4500,30297233.333333332,58516666.666666664
5000,33052166.666666668,59900000
