run,evaluations,avg_weight,max_weight,avg_material,max_material
14,1500,-92964000.0,0,387.76745406847607,166.08227124857996
14,2000,-90820000.0,0,367.39172721443384,153.72062180571248
14,2500,-88300000.0,0,349.81731028425537,139.99910157506045
14,3000,-85438000.0,0,333.0562804396574,139.99910157506045
14,3500,-81658000.0,0,323.64640344177434,139.99910157506045
14,4000,-77428000.0,0,306.73926260326385,139.99910157506045
14,4500,-73484000.0,0,286.7602010479303,139.99910157506045
14,5000,-70424000.0,0,281.2127057190317,139.99910157506045
15,500,-97430000.0,-71000000.0,479.2468073022434,198.34472863885816
15,1000,-95174000.0,0,418.4019836697084,188.5550066905125
15,1500,-92926000.0,0,392.2683800431293,166.02030731586052
15,2000,-90592000.0,1000000,364.65267112244067,139.9993872092235
15,2500,-88266000.0,1000000,343.0987979776265,139.9993872092235
15,3000,-86214000.0,1000000,320.5826593571139,139.9992561884881
15,3500,-83868000.0,1000000,294.87124050093075,139.9992561884881
15,4000,-79264000.0,1000000,280.33432633876583,139.9992561884881
15,4500,-74844000.0,1000000,269.6760947324254,139.9991029733905
15,5000,-70702000.0,1000000,256.67617854956364,139.9991029733905
16,500,-97446000.0,-52000000.0,492.49806692869566,183.21818220859583
16,1000,-95284000.0,-44999999.99999999,441.96177952573123,182.67133712546263
16,1500,-92760000.0,-12000000.0,417.92405161894237,163.5887285116828
16,2000,-90880000.0,-12000000.0,385.6407131426532,163.5887285116828
16,2500,-88612000.0,0,357.78327118290673,162.0324678378086
16,3000,-86152000.0,0,339.7471400299619,139.99955929713173
16,3500,-83476000.0,0,324.79096945026635,139.999471011682
16,4000,-80282000.0,0,310.66747524993644,139.9991898461408
16,4500,-76864000.0,0,291.2072959723363,139.99916676493567
16,5000,-72732000.0,0,278.47971646724136,139.99910395227874
17,500,-97782000.0,-64000000.0,472.8364127718918,180.01305547577581
17,1000,-95660000.0,-47000000.0,420.1253063033975,178.07027993599502
17,1500,-94016000.0,-47000000.0,378.3647791473919,171.34076682475188
17,2000,-91919000.0,1500000,349.15655891992793,152.90061365904282
17,2500,-89411000.0,1500000,326.07680820916545,139.9993545835175
17,3000,-86829000.0,1500000,314.730010044219,139.9993545835175
17,3500,-83867000.0,1500000,295.72052883502664,139.99911331527463
17,4000,-80285000.0,1500000,281.7436938991325,139.99911121331448
17,4500,-76975000.0,1500000,267.2669173197898,139.99911121331448
17,5000,-73227000.0,1500000,258.9756925337446,139.99911121331448
18,500,-97732000.0,-69000000.0,474.78139175384007,184.78588601797895
18,1000,-95350000.0,-42999999.99999999,423.26799426364676,184.78588601797895
18,1500,-93134000.0,-39000000.0,390.06337944772804,184.78588601797895
18,2000,-90944000.0,0,363.1312520839711,171.24147917321113
18,2500,-88644000.0,0,338.4322630876295,151.34359816050758
18,3000,-86470000.0,0,318.32240678741783,139.99942641579958
18,3500,-83484000.0,0,298.9832605002372,139.99936658102447
18,4000,-79936000.0,0,285.4072968064036,139.9992735167386
18,4500,-75546000.0,0,270.47505328721945,139.99919527701317
18,5000,-70442000.0,0,255.16599448318712,139.99911052073028
19,500,-97592000.0,-65999999.99999999,482.21277925777605,187.38211983272907
19,1000,-95258000.0,-63000000.0,432.9264073647129,187.38211983272907
19,1500,-92760000.0,2000000,399.7834239868,181.40490795905686
19,2000,-90878000.0,2000000,371.9072592630612,139.9994906585064
19,2500,-88390000.0,2000000,344.4119690964245,139.9994906585064
19,3000,-86388000.0,2000000,325.20438930575403,139.99923911240526
19,3500,-84030000.0,2000000,300.8761208231486,139.99923911240526
19,4000,-81284000.0,2000000,279.1175890837155,139.99923911240526
19,4500,-77013000.0,2000000,263.83080193736987,139.99912468157487
19,5000,-72829000.0,2000000,249.99240004391223,139.99910862654838
20,500,-97534000.0,-41000000.0,484.49681716150684,181.5794715124975
20,1000,-95112000.0,0,428.6091416963034,181.5794715124975
20,1500,-92410000.0,0,395.1994395531357,172.1811561726185
20,2000,-90246000.0,0,375.4199337322875,155.2161014262182
20,2500,-87962000.0,0,350.5840740214929,155.2161014262182
20,3000,-84598000.0,0,334.0714878906042,139.99917887033615
20,3500,-81652000.0,0,321.97991114156815,139.99913844390915
20,4000,-78978000.0,0,296.4313312571396,139.99913844390915
20,4500,-74438000.0,0,287.617302520959,139.9991010720802
20,5000,-70474000.0,0,280.65432428529994,139.9991010720802
21,500,-97264000.0,-57000000.00000001,472.8444710083742,196.85898493479968
21,1000,-95088000.0,0,412.43407381868474,160.26449191017204
21,1500,-92958000.0,0,375.68871724267007,160.26449191017204
21,2000,-90444000.0,0,354.33864427983707,160.26449191017204
21,2500,-88218000.0,0,331.8854085333579,139.99941934876688
21,3000,-85026000.0,0,318.5564092250533,139.99941934876688
21,3500,-82160000.0,0,305.9094138546964,139.9993404820521
21,4000,-78284000.0,0,286.1905155751442,139.9993404820521
21,4500,-73322000.0,0,277.1852954811648,139.99923349719268
21,5000,-69886000.0,0,264.8251212562561,139.99910548266863
22,500,-97512000.0,0,481.12329267786157,171.7160290564025
22,1000,-95186000.0,0,422.91153787479163,171.7160290564025
22,1500,-91996000.0,0,406.5533758790848,159.96102632691188
22,2000,-89492000.0,0,378.99936218932874,152.93772454803636
22,2500,-87576000.0,0,360.50120578229945,139.99928041050975
22,3000,-85124000.0,0,345.8944044769147,139.9991280465451
22,3500,-82586000.0,0,333.4284893739947,139.9991280465451
22,4000,-79824000.0,0,314.84810400266406,139.9991280465451
22,4500,-76678000.0,0,294.9973495589576,139.9991280465451
22,5000,-71838000.0,0,285.4715283007838,139.9991280465451
23,500,-97368000.0,-16000000.000000004,481.5782470938868,177.27696092834086
23,1000,-95262000.0,0,433.51541794592714,160.2534937585197
23,1500,-92714000.0,0,392.5733153784084,160.2534937585197
23,2000,-89972000.0,0,363.2989749823654,139.99949809165858
23,2500,-87580000.0,0,338.6110213703497,139.99949809165858
23,3000,-83838000.0,0,325.87896614800127,139.99910196676436
23,3500,-80904000.0,0,311.0976404904624,139.99910196676436
23,4000,-77722000.0,0,290.4214977805682,139.99910196676436
23,4500,-73124000.0,0,275.08895003686564,139.99910196676436
23,5000,-68534000.0,0,266.0090534470877,139.99910196676436
24,500,-97272000.0,-54000000.0,482.3590582279143,173.196362985347
24,1000,-94770000.0,0,424.76610551643586,173.196362985347
24,1500,-92444000.0,0,393.62758359554243,173.196362985347
24,2000,-90074000.0,0,369.163744993392,164.07702314013648
24,2500,-88092000.0,0,343.50527060045425,160.21917873401108
24,3000,-85478000.0,0,319.4571068385265,149.62049434318882
24,3500,-83392000.0,0,296.229113483537,139.99913398812748
24,4000,-79594000.0,0,283.8235771172782,139.99913398812748
24,4500,-76160000.0,0,262.15764896106305,139.9991173006885
24,5000,-72220000.0,0,254.70986459222408,139.9991173006885
25,500,-97233000.0,1500000,479.2539192626808,211.19937971387284
25,1000,-94953000.0,2000000,432.9444918158651,181.28491452441546
25,1500,-92369000.0,2000000,415.47550521021196,181.28491452441546
25,2000,-89297000.0,2000000,387.7606581995831,181.28491452441546
25,2500,-86545000.0,2000000,369.48547109533905,139.99970622524222
25,3000,-84379000.0,2000000,352.1242888940354,139.99970622524222
25,3500,-80491000.0,2000000,338.72974074340124,139.99910310442107
25,4000,-77353000.0,2000000,319.4372697134726,139.99910310442107
25,4500,-73367000.0,2000000,308.0511890820854,139.99910039800963
25,5000,-69975000.0,2000000,293.843797728409,139.99910039800963
26,500,-97354000.0,0,472.65549539435875,139.99938636149113
26,1000,-95218000.0,0,418.507086216281,139.99938636149113
26,1500,-92666000.0,0,387.56847273603165,139.99938636149113
26,2000,-90470000.0,0,361.8917435798033,139.99938636149113
26,2500,-87973000.0,1500000,334.53086519547816,139.99938636149113
26,3000,-84897000.0,1500000,321.45329139136317,139.99937266943476
26,3500,-81430000.0,1500000,308.10973493514507,139.9992036983361
26,4000,-78420000.0,1500000,285.89226830810713,139.9991020928802
26,4500,-73956000.0,1500000,273.092602729454,139.9991020928802
26,5000,-69789000.0,1500000,263.9386340229142,139.9991020928802
27,500,-97092000.0,4000000,477.2288701035641,199.29880629241265
27,1000,-94760000.0,4000000,423.9135691163889,185.27102027993027
27,1500,-92266000.0,4000000,395.55994663051746,167.82616461134805
27,2000,-90086000.0,4000000,375.86116556459126,139.99950408009292
27,2500,-87315000.0,4000000,360.58005003298507,139.99920588495175
27,3000,-84223000.0,4000000,352.57743996348097,139.99920588495175
27,3500,-81123000.0,4000000,336.92113053721783,139.9991338731175
27,4000,-77361000.0,4000000,320.6291921406372,139.9991338731175
27,4500,-72973000.0,4000000,311.6168452982497,139.9991338731175
27,5000,-69569000.0,4000000,295.3804725729968,139.9991338731175
28,500,-97512000.0,-37000000.0,473.69114397196324,172.55259210877844
28,1000,-95460000.0,-37000000.0,420.0313037086494,160.0241662591472
28,1500,-93446000.0,-30999999.999999993,395.20684394714624,160.0241662591472
28,2000,-91722000.0,-30999999.999999993,364.7231727578524,139.9997974047311
28,2500,-89208000.0,-16000000.000000004,338.7061758704775,139.99913283107048
28,3000,-86596000.0,-6999999.999999995,319.18846062442293,139.99913283107048
28,3500,-83354000.0,0,300.3447613751536,139.99913283107048
28,4000,-79334000.0,0,283.69271435334616,139.99913283107048
28,4500,-76282000.0,0,267.5808127281075,139.9991141389225
28,5000,-72440000.0,0,257.5869565612522,139.9991020837895
29,500,-96960000.0,-60000000.0,485.45629575988426,164.38573561551485
29,1000,-94554000.0,-24000000.0,429.48357167886303,164.38573561551485
29,1500,-92590000.0,-24000000.0,400.5588684572485,164.38573561551485
29,2000,-90302000.0,-17999999.999999993,371.855419524572,157.12323039006392
29,2500,-88136000.0,-17999999.999999993,349.25811713253546,139.9995259667369
29,3000,-85144000.0,0,344.34165100460706,139.99936744975963
29,3500,-81824000.0,0,325.2336415186726,139.99933230986775
29,4000,-78487000.0,5500000,306.3950863601166,139.99921557332755
29,4500,-75277000.0,5500000,288.6430224698571,139.9991586607449
29,5000,-72391000.0,5500000,269.3754407329254,139.9991586607449
