run,evaluations,avg_fitness,best_fitness
7,4000,-97506000.0,-32999999.999999996
7,4250,-96906000.0,-32999999.999999996
7,4500,-96202000.0,-32999999.999999996
7,4750,-95262000.0,-32999999.999999996
7,5000,-93968000.0,-32999999.999999996
8,500,-99920000.0,-85000000.0
8,750,-99852000.0,-85000000.0
8,1000,-99758000.0,-85000000.0
8,1250,-99696000.0,-85000000.0
8,1500,-99626000.0,-85000000.0
8,1750,-99404000.0,-72000000.0
8,2000,-99158000.0,-72000000.0
8,2250,-99018000.0,-72000000.0
8,2500,-98820000.0,-72000000.0
8,2750,-98642000.0,-72000000.0
8,3000,-98260000.0,-52000000.0
8,3250,-97968000.0,-52000000.0
8,3500,-97360000.0,-52000000.0
8,3750,-96782000.0,-52000000.0
8,4000,-95744000.0,-48000000.0
8,4250,-94782000.0,-48000000.0
8,4500,-93746000.0,-48000000.0
8,4750,-92610000.0,-44999999.99999999
8,5000,-90996000.0,-18999999.999999996
9,500,-99912000.0,-91000000.0
9,750,-99870000.0,-91000000.0
9,1000,-99638000.0,0
9,1250,-99598000.0,0
9,1500,-99554000.0,0
9,1750,-99500000.0,0
9,2000,-99434000.0,0
9,2250,-99330000.0,0
9,2500,-99156000.0,0
9,2750,-98747000.0,500000
9,3000,-98601000.0,500000
9,3250,-98337000.0,500000
9,3500,-97999000.0,500000
9,3750,-97703000.0,500000
9,4000,-97259000.0,500000
9,4250,-96715000.0,500000
9,4500,-95795000.0,500000
9,4750,-94744000.0,1500000
9,5000,-93278000.0,1500000
10,500,-99930000.0,-94000000.0
10,750,-99904000.0,-94000000.0
10,1000,-99880000.0,-94000000.0
10,1250,-99846000.0,-94000000.0
10,1500,-99742000.0,-84000000.0
10,1750,-99708000.0,-84000000.0
10,2000,-99608000.0,-84000000.0
10,2250,-99542000.0,-84000000.0
10,2500,-99426000.0,-84000000.0
10,2750,-99302000.0,-82000000.0
10,3000,-99162000.0,-82000000.0
10,3250,-99030000.0,-82000000.0
10,3500,-98740000.0,-69000000.0
10,3750,-98502000.0,-69000000.0
10,4000,-98152000.0,-69000000.0
